Group,WNT,WNT,SHH,SHH,Group3,Group3,Group4,Group4
Attribute,name,correlation,name,correlation,name,correlation,name,correlation
194,JPH1,0.626923076923077,CHPT1,0.6,SNX25,0.621538461538461,MLLT4,0.564615384615385
195,MRVI1,0.588461538461538,HJURP,0.57,DOCK9,0.700769230769231,GCNT4,0.693846153846154
196,P2RX6,0.501538461538462,METRN,0.656923076923077,NXPH4,0.777692307692308,EN2,0.943846153846154
197,EMID1,0.903076923076923,HDAC4,0.734615384615385,DLEU7,0.690769230769231,KL,0.858461538461538
198,TNC,0.760769230769231,SPNS2,0.823076923076923,CDH8,0.769230769230769,SPATA13,0.656923076923077
199,WNT11,0.720769230769231,BCL2,0.6,LAPTM4B,0.854615384615385,CADPS2,0.816153846153846
200,EFNA5,0.835384615384615,SLC35D2,0.626923076923077,TRIM58,0.934615384615385,RNF144A,0.703076923076923
201,CADM1,0.584615384615385,NOTCH1,0.65,GPR61,0.830769230769231,KBTBD11,0.88
202,ANXA2,0.628461538461538,TWF2,0.724615384615385,MED8,0.607692307692308,C3orf58,0.804615384615385
203,IL17D,0.870769230769231,DOCK10,0.768461538461539,SNRPC,0.485384615384615,FREM3,0.901538461538462
204,OPRD1,0.599230769230769,TCEAL7,0.658461538461538,GABRG2,0.883076923076923,C1orf204,0.723076923076923
205,TBC1D30,0.653846153846154,FLNB,0.653846153846154,CNGB3,0.64822398288231,KIAA1211,0.540769230769231
206,RAB3IL1,0.731538461538462,F3,0.728461538461538,LRRC3DN,0.606923076923077,KIAA1549,0.516923076923077
207,KCTD16,0.668461538461539,STAM,0.568461538461538,ZNF330,0.486923076923077,DLC1,0.733076923076923
208,ADAMTS20,0.732307692307692,TRIM71,0.823076923076923,APBB2,0.539230769230769,PEX5L,0.796153846153846
209,SEL1L3,0.721538461538462,PRKAG2,0.659230769230769,IQSEC1,0.617692307692308,PHYH,0.613076923076923
210,NAV2,0.747692307692308,L3MBTL4,0.873076923076923,MARS,0.712307692307692,APBA1,0.634615384615385
211,BRE,0.502307692307692,ATP2B4,0.733076923076923,CDC40,0.525384615384615,SLC25A51,0.502307692307692
212,MEIS1,0.902307692307692,FUT8,0.785384615384615,GSG1,0.890769230769231,KLHL5,0.628461538461538
213,LZTFL1,0.663076923076923,CALN1,0.84,DENND2C,0.842307692307692,HINT3,0.687692307692308
214,NRCAM,0.849230769230769,TBCB,0.710769230769231,LARGE,0.611538461538462,CDH18,0.890769230769231
215,AKAP12,0.749230769230769,PARP4,0.587692307692308,DLGAP2,0.626923076923077,SYCP1,0.888809713726884
216,SLC12A2,0.658461538461538,KIAA0922,0.706923076923077,GGA2,0.535384615384615,SUDS3,0.665384615384615
217,RIN1,0.675384615384615,FAM84A,0.722307692307692,RIMBP2,0.590769230769231,RAB9B,0.58
218,ZNF503,0.502307692307692,TTBK1,0.711538461538462,IQCK,0.806153846153846,SLC7A14,0.706923076923077
